sep=,
"Time","INV_Phase_A_Current","INV_Phase_B_Current","INV_Phase_C_Current"
2025-06-03 18:56:57,0.680,-2.40,1.48
2025-06-03 18:56:57,6.60,-0.940,-6
2025-06-03 18:56:57,-4.35,2.30,1.30
2025-06-03 18:56:57,2.32,4.70,-6.60
2025-06-03 18:56:57,6.16,-9.68,3.22
2025-06-03 18:56:57,5.46,-2.42,-3.70
2025-06-03 18:56:58,7.16,-1.18,-5.40
2025-06-03 18:56:58,-0.950,-1.90,2.35
2025-06-03 18:56:58,2.08,-4.84,2.66
2025-06-03 18:56:58,-1.64,-4.16,5.10
2025-06-03 18:56:58,-2.52,0.380,2.32
2025-06-03 18:56:58,8.45,-9.82,0.525
2025-06-03 18:56:58,4.30,-1.54,-2.98
2025-06-03 18:56:58,-10.2,3.98,5.78
2025-06-03 18:56:58,-1.03,0.275,0.600
2025-06-03 18:56:58,0.267,-6.22,5.98
2025-06-03 18:56:59,6.68,0.425,-6.83
2025-06-03 18:56:59,-2.00,-5.24,7.62
2025-06-03 18:56:59,-9.96,-0.840,11.1
2025-06-03 18:56:59,14.4,-6.70,-7.42
2025-06-03 18:56:59,-0.825,-1.70,2.75
2025-06-03 18:56:59,1.76,-9.66,7.94
2025-06-03 18:56:59,12.0,-8.50,-3.62
2025-06-03 18:56:59,-12.5,17,-4.52
2025-06-03 18:56:59,30.1,-37.7,7.45
2025-06-03 18:56:59,-29.7,-17.6,47.2
2025-06-03 18:57:00,-39.9,-3.06,42.8
2025-06-03 18:57:00,-13.6,-24.6,37.7
2025-06-03 18:57:00,32,-20.7,-10.5
2025-06-03 18:57:00,-14.6,19.4,-5.54
2025-06-03 18:57:00,17.5,-12.0,-4.38
2025-06-03 18:57:00,4.20,-5.70,1.48
2025-06-03 18:57:00,-12.8,7.98,5.48
2025-06-03 18:57:00,5.52,0.0800,-4.98
2025-06-03 18:57:00,2.70,6.40,-9.84
2025-06-03 18:57:00,-10.3,1.48,8.40
2025-06-03 18:57:01,5.78,2.96,-8.58
2025-06-03 18:57:01,-3.40,-10.6,14.6
